side,charge,pt,phi,eta,momentum_scale
0,-1,0.25,-3.0106929596902186,-1.0,0.9850693
0,-1,0.25,-3.0106929596902186,-0.8,1.004093
0,-1,0.25,-3.0106929596902186,-0.6000000000000001,1.0132571
0,-1,0.25,-3.0106929596902186,-0.4,1.0146953
0,-1,0.25,-3.0106929596902186,-0.20000000000000007,1.0139667
0,-1,0.25,-3.0106929596902186,0.0,1.0131438
0,-1,0.25,-3.0106929596902186,0.20000000000000007,1.0111786
0,-1,0.25,-3.0106929596902186,0.4,1.008144
0,-1,0.25,-3.0106929596902186,0.6,1.0057181
0,-1,0.25,-3.0106929596902186,0.7999999999999999,1.0042769
0,-1,0.25,-3.0106929596902186,1.0,1.0033952
0,-1,0.25,-2.748893571891069,-1.0,0.98741454
0,-1,0.25,-2.748893571891069,-0.8,1.0048515
0,-1,0.25,-2.748893571891069,-0.6000000000000001,1.0135221
0,-1,0.25,-2.748893571891069,-0.4,1.0142568
0,-1,0.25,-2.748893571891069,-0.20000000000000007,1.0128118
0,-1,0.25,-2.748893571891069,0.0,1.011461
0,-1,0.25,-2.748893571891069,0.20000000000000007,1.009274
0,-1,0.25,-2.748893571891069,0.4,1.006394
0,-1,0.25,-2.748893571891069,0.6,1.0043502
0,-1,0.25,-2.748893571891069,0.7999999999999999,1.0032765
0,-1,0.25,-2.748893571891069,1.0,1.0026699
0,-1,0.25,-2.4870941840919194,-1.0,0.9899171
0,-1,0.25,-2.4870941840919194,-0.8,1.0055066
0,-1,0.25,-2.4870941840919194,-0.6000000000000001,1.0140228
0,-1,0.25,-2.4870941840919194,-0.4,1.0142177
0,-1,0.25,-2.4870941840919194,-0.20000000000000007,1.0120758
0,-1,0.25,-2.4870941840919194,0.0,1.0102112
0,-1,0.25,-2.4870941840919194,0.20000000000000007,1.0078572
0,-1,0.25,-2.4870941840919194,0.4,1.0051674
0,-1,0.25,-2.4870941840919194,0.6,1.003452
0,-1,0.25,-2.4870941840919194,0.7999999999999999,1.0026399
0,-1,0.25,-2.4870941840919194,1.0,1.002199
0,-1,0.25,-2.2252947962927703,-1.0,0.9920366
0,-1,0.25,-2.2252947962927703,-0.8,1.0058903
0,-1,0.25,-2.2252947962927703,-0.6000000000000001,1.0147548
0,-1,0.25,-2.2252947962927703,-0.4,1.0148157
0,-1,0.25,-2.2252947962927703,-0.20000000000000007,1.0121102
0,-1,0.25,-2.2252947962927703,0.0,1.0097989
0,-1,0.25,-2.2252947962927703,0.20000000000000007,1.0073333
0,-1,0.25,-2.2252947962927703,0.4,1.0047685
0,-1,0.25,-2.2252947962927703,0.6,1.0031844
0,-1,0.25,-2.2252947962927703,0.7999999999999999,1.002435
0,-1,0.25,-2.2252947962927703,1.0,1.0020095
0,-1,0.25,-1.963495408493621,-1.0,0.99343795
0,-1,0.25,-1.963495408493621,-0.8,1.0061272
0,-1,0.25,-1.963495408493621,-0.6000000000000001,1.0156627
0,-1,0.25,-1.963495408493621,-0.4,1.0160028
0,-1,0.25,-1.963495408493621,-0.20000000000000007,1.0129904
0,-1,0.25,-1.963495408493621,0.0,1.0104537
0,-1,0.25,-1.963495408493621,0.20000000000000007,1.008047
0,-1,0.25,-1.963495408493621,0.4,1.0054985
0,-1,0.25,-1.963495408493621,0.6,1.0037214
0,-1,0.25,-1.963495408493621,0.7999999999999999,1.002748
0,-1,0.25,-1.963495408493621,1.0,1.0021561
0,-1,0.25,-1.7016960206944713,-1.0,0.99406344
0,-1,0.25,-1.7016960206944713,-0.8,1.0066496
0,-1,0.25,-1.7016960206944713,-0.6000000000000001,1.0167798
0,-1,0.25,-1.7016960206944713,-0.4,1.0172998
0,-1,0.25,-1.7016960206944713,-0.20000000000000007,1.0142355
0,-1,0.25,-1.7016960206944713,0.0,1.0118785
0,-1,0.25,-1.7016960206944713,0.20000000000000007,1.009945
0,-1,0.25,-1.7016960206944713,0.4,1.0075436
0,-1,0.25,-1.7016960206944713,0.6,1.005328
0,-1,0.25,-1.7016960206944713,0.7999999999999999,1.0037858
0,-1,0.25,-1.7016960206944713,1.0,1.0027763
0,-1,0.25,-1.439896632895322,-1.0,0.9938858
0,-1,0.25,-1.439896632895322,-0.8,1.0076966
0,-1,0.25,-1.439896632895322,-0.6000000000000001,1.0176326
0,-1,0.25,-1.439896632895322,-0.4,1.0177511
0,-1,0.25,-1.439896632895322,-0.20000000000000007,1.0148951
0,-1,0.25,-1.439896632895322,0.0,1.0131212
0,-1,0.25,-1.439896632895322,0.20000000000000007,1.0121149
0,-1,0.25,-1.439896632895322,0.4,1.0104185
0,-1,0.25,-1.439896632895322,0.6,1.0080553
0,-1,0.25,-1.439896632895322,0.7999999999999999,1.0058148
0,-1,0.25,-1.439896632895322,1.0,1.0040978
0,-1,0.25,-1.1780972450961724,-1.0,0.9928778
0,-1,0.25,-1.1780972450961724,-0.8,1.0084577
0,-1,0.25,-1.1780972450961724,-0.6000000000000001,1.0168808
0,-1,0.25,-1.1780972450961724,-0.4,1.0166062
0,-1,0.25,-1.1780972450961724,-0.20000000000000007,1.0144564
0,-1,0.25,-1.1780972450961724,0.0,1.0135158
0,-1,0.25,-1.1780972450961724,0.20000000000000007,1.0134796
0,-1,0.25,-1.1780972450961724,0.4,1.0128483
0,-1,0.25,-1.1780972450961724,0.6,1.0110499
0,-1,0.25,-1.1780972450961724,0.7999999999999999,1.0086099
0,-1,0.25,-1.1780972450961724,1.0,1.0062279
0,-1,0.25,-0.9162978572970231,-1.0,0.99122185
0,-1,0.25,-0.9162978572970231,-0.8,1.0075
0,-1,0.25,-0.9162978572970231,-0.6000000000000001,1.0142606
0,-1,0.25,-0.9162978572970231,-0.4,1.0144281
0,-1,0.25,-0.9162978572970231,-0.20000000000000007,1.0133947
0,-1,0.25,-0.9162978572970231,0.0,1.0132879
0,-1,0.25,-0.9162978572970231,0.20000000000000007,1.0139221
0,-1,0.25,-0.9162978572970231,0.4,1.0141106
0,-1,0.25,-0.9162978572970231,0.6,1.0131078
0,-1,0.25,-0.9162978572970231,0.7999999999999999,1.0110755
0,-1,0.25,-0.9162978572970231,1.0,1.0085902
0,-1,0.25,-0.6544984694978737,-1.0,0.98936796
0,-1,0.25,-0.6544984694978737,-0.8,1.0050958
0,-1,0.25,-0.6544984694978737,-0.6000000000000001,1.0112166
0,-1,0.25,-0.6544984694978737,-0.4,1.0123599
0,-1,0.25,-0.6544984694978737,-0.20000000000000007,1.0123974
0,-1,0.25,-0.6544984694978737,0.0,1.0129313
0,-1,0.25,-0.6544984694978737,0.20000000000000007,1.0139441
0,-1,0.25,-0.6544984694978737,0.4,1.0145472
0,-1,0.25,-0.6544984694978737,0.6,1.0140296
0,-1,0.25,-0.6544984694978737,0.7999999999999999,1.0123968
0,-1,0.25,-0.6544984694978737,1.0,1.0101309
0,-1,0.25,-0.39269908169872436,-1.0,0.98767346
0,-1,0.25,-0.39269908169872436,-0.8,1.0026976
0,-1,0.25,-0.39269908169872436,-0.6000000000000001,1.0089654
0,-1,0.25,-0.39269908169872436,-0.4,1.011044
0,-1,0.25,-0.39269908169872436,-0.20000000000000007,1.011859
0,-1,0.25,-0.39269908169872436,0.0,1.0128123
0,-1,0.25,-0.39269908169872436,0.20000000000000007,1.0140086
0,-1,0.25,-0.39269908169872436,0.4,1.0147094
